,BCH-USD,BTC-USD,ETH-USD,LTC-USD,BCH-USD_price,BTC-USD_price,ETH-USD_price,LTC-USD_price,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-04 13:58:00,0.0,-9.954612519999985,0.0,0.0,643.815,7366.7125,289.03249999999997,68.17500000000001,25063.557541302274,73332.7684837404,21.103778542407937,98396.32602504267,0.0
2018-09-04 13:59:00,0.0,-9.954612519999985,0.0,0.0,643.815,7364.0025000000005,289.0,68.17750000000001,25117.511541160668,73305.79148381119,26.97699992919127,98423.30302497186,0.0
2018-09-04 14:00:00,0.0,-9.954612519999985,0.0,0.0,643.815,7363.3724999999995,289.0925,68.17500000000001,25130.054352935884,73299.52007792359,6.271405887610131,98429.57443085947,0.0
2018-09-04 14:01:00,0.0,-9.954612519999985,0.0,0.0,643.82,7364.4925,289.185,68.17250000000001,25107.756020891073,73310.66924394599,-11.14916602240795,98418.42526483706,0.0
2018-09-04 14:02:00,0.0,-9.954612519999985,0.0,0.0,643.81,7365.77,289.1875,68.19,25082.32198590247,73323.38626144029,-12.71701749430143,98405.70824734276,0.0
2018-09-04 14:03:00,0.0,-9.954612519999985,0.0,0.0,643.9100000000001,7368.4825,289.20250000000004,68.22250000000001,25028.318212981467,73350.3881479008,-27.00188646049634,98378.70636088226,0.0
2018-09-04 14:04:00,0.0,-9.954612519999985,0.0,0.0,644.0,7369.9974999999995,289.29,68.25,24998.155737045876,73365.4693858686,-15.081237967794184,98363.62512291447,0.0
2018-09-04 14:05:00,0.0,-9.954612519999985,0.0,0.0,643.9975,7369.9974999999995,289.355,68.245,24998.155737045876,73365.4693858686,0.0,98363.62512291447,0.0
2018-09-04 14:06:00,0.0,-10.154612519999985,0.0,0.0,643.995,7370.709999999999,289.40250000000003,68.2625,23509.0913432049,74846.70404728908,-7.829732420496366,98355.79539049398,0.7370709999999974
2018-09-04 14:07:00,0.0,-10.154612519999985,0.0,0.0,643.995,7371.422500000001,289.55,68.27,23494.621020363877,74853.93920870959,-7.235161420514766,98348.56022907347,0.0
2018-09-04 14:08:00,0.0,-10.154612519999985,0.0,0.0,643.995,7369.139999999999,289.6575,68.2775,23540.976826517697,74830.76130563268,23.177903076911786,98371.73813215038,0.0
2018-09-04 14:09:00,0.0,-10.154612519999985,0.0,0.0,643.745,7368.085,289.6575,68.27000000000001,23562.4030589349,74820.04818942408,10.713116208593704,98382.45124835898,0.0
2018-09-04 14:10:00,0.0,-10.154612519999985,0.0,0.0,643.505,7368.087500000001,289.44000000000005,68.28,23562.352285872286,74820.0735759554,-0.025386531305171878,98382.42586182768,0.0
2018-09-04 14:11:00,0.0,-10.354612519999984,0.0,0.0,643.75,7366.3150000000005,289.2225,68.2825,22124.350755755688,76275.33752526369,17.262419191700346,98399.68828101938,0.7366314999999974
2018-09-04 14:12:00,0.0,-10.354612519999984,0.0,0.0,643.5,7364.545,289.07250000000005,68.285,22161.006084076493,76257.00986110329,18.327664160404492,98418.01594517978,0.0
2018-09-04 14:13:00,0.0,-10.354612519999984,0.0,0.0,643.99,7364.555,288.96000000000004,68.2925,22160.798991826086,76257.11340722849,-0.10354612520226003,98417.91239905458,0.0
2018-09-04 14:14:00,0.0,-10.354612519999984,0.0,0.0,643.5775,7365.7825,289.0375,68.2975,22135.378418089487,76269.82369409679,-12.710286868299603,98405.20211218628,0.0
2018-09-04 14:15:00,0.0,-10.354612519999984,0.0,0.0,643.52,7367.0075,289.0825,68.295,22110.009617415504,76282.50809443378,-12.68440033699433,98392.51771184929,0.0
